"FullName","Length","CreationTime","LastWriteTime"
"C:\Windows\System32\en-US\wptaskscheduler.dll.mui","2560","4/1/2024 3:06:21 AM","4/1/2024 3:06:21 AM"
"C:\Windows\System32\GameChatOverlayExt.dll","40960","3/2/2025 4:59:06 PM","3/2/2025 4:59:06 PM"
"C:\Windows\System32\GameChatTranscription.dll","155648","11/11/2025 12:45:53 PM","11/11/2025 12:45:53 PM"
"C:\Windows\System32\InstallServiceTasks.dll","487424","6/9/2026 2:01:43 PM","6/9/2026 2:01:43 PM"
"C:\Windows\System32\migwiz\replacementmanifests\Microsoft-Windows-SoftwareInventoryLogging-ScheduledTasks-Replacement.man","1059","4/1/2024 2:22:45 AM","4/1/2024 2:22:45 AM"
"C:\Windows\System32\ngctasks.dll","233472","6/9/2026 2:01:38 PM","6/9/2026 2:01:38 PM"
"C:\Windows\System32\plutontasks.dll","102400","6/9/2026 2:01:33 PM","6/9/2026 2:01:33 PM"
"C:\Windows\System32\schtasks.exe","253952","10/14/2025 10:02:33 PM","10/14/2025 10:02:33 PM"
"C:\Windows\System32\SrTasks.exe","110592","6/9/2026 2:01:56 PM","6/9/2026 2:01:56 PM"
"C:\Windows\System32\taskschd.dll","670816","9/11/2025 3:41:04 PM","9/11/2025 3:41:04 PM"
"C:\Windows\System32\taskschd.msc","145059","4/1/2024 2:22:07 AM","4/1/2024 2:22:07 AM"
"C:\Windows\System32\TaskSchdPS.dll","73728","4/1/2024 2:22:07 AM","4/1/2024 2:22:07 AM"
"C:\Windows\System32\TpmTasks.dll","856064","6/9/2026 2:01:46 PM","6/9/2026 2:01:47 PM"
"C:\Windows\System32\WindowsPowerShell\v1.0\Modules\PrintManagement\MSFT_PrinterNfcTagTasks_v1.0.cdxml","3195","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\System32\WindowsPowerShell\v1.0\Modules\PrintManagement\MSFT_PrinterPortTasks_v1.0.cdxml","6783","4/1/2024 2:22:47 AM","4/1/2024 2:22:47 AM"
"C:\Windows\System32\WindowsPowerShell\v1.0\Modules\ScheduledTasks\ScheduledTasks.psd1","1893","4/1/2024 2:22:41 AM","4/1/2024 2:22:41 AM"
"C:\Windows\System32\winevt\Logs\Microsoft-Windows-Shell-Core%4LogonTasksChannel.evtx","69632","3/2/2025 3:12:27 PM","3/3/2025 3:25:18 AM"
"C:\Windows\System32\winevt\Logs\Microsoft-Windows-TaskScheduler%4Maintenance.evtx","1052672","3/2/2025 3:12:24 PM","7/5/2026 9:35:19 AM"
"C:\Windows\System32\WofTasks.dll","57344","7/9/2025 1:07:54 AM","7/9/2025 1:07:54 AM"
"C:\Windows\System32\WPTaskScheduler.dll","196608","3/11/2025 1:21:07 PM","3/11/2025 1:21:07 PM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\js\autopilot\exportdiagnostics-page.js","4605","9/11/2025 3:40:41 PM","9/11/2025 3:40:41 PM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\js\autopilot\exportdiagnostics-vm.js","15728","9/11/2025 3:40:41 PM","9/11/2025 3:40:41 PM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\js\personalDataExport-page.js","3449","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\js\personalDataExport-vm.js","9413","9/11/2025 3:40:23 PM","9/11/2025 3:40:23 PM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\view\autopilot\exportdiagnostics-main.html","4306","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\webapps\inclusiveOobe\view\personalDataExport-main.html","4137","4/1/2024 2:22:51 AM","4/1/2024 2:22:51 AM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume\Assets\SamsungNotes.png","14357","4/15/2026 12:55:18 AM","4/15/2026 12:55:18 AM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-black\windows.askchat.svg","4204","9/11/2025 3:41:24 PM","9/11/2025 3:41:24 PM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\windows.askchat.svg","3046","9/11/2025 3:41:24 PM","9/11/2025 3:41:24 PM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-light\windows.askchat.svg","3198","9/11/2025 3:41:24 PM","9/11/2025 3:41:24 PM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-white\windows.askchat.svg","4204","9/11/2025 3:41:24 PM","9/11/2025 3:41:24 PM"
"C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\windows.askchat.colored.svg","4128","9/11/2025 3:41:24 PM","9/11/2025 3:41:24 PM"
"C:\Windows\SystemResources\DxpTaskSync.dll.mun","971776","4/1/2024 2:22:34 AM","4/1/2024 2:22:34 AM"
"C:\Windows\SysWOW64\ChatApis.dll","532992","4/15/2026 12:55:07 AM","4/15/2026 12:55:07 AM"
"C:\Windows\SysWOW64\DxpTaskSync.dll","256000","4/15/2026 12:54:00 AM","4/15/2026 12:54:00 AM"
